Id_station,Id_omm,Nom_usuel,Latitude,Longitude,Altitude,Date_ouverture,Pack
20107001,7785.0,CAP CORSE,43.003833,9.3595,72,1882-01-01,RADOME
20108002,,EVISA-ONF,42.263333,8.838667,1030,1977-01-01,ETENDU
20114002,7780.0,FIGARI,41.505167,9.103667,20,1979-08-01,RADOME
20126001,,GIUNCAGGIO_SAPC,42.2165,9.369333,685,2018-04-20,ETENDU
20135002,,ISOLACCIO DI FIUMORBO,41.992333,9.305,198,2006-09-01,ETENDU
20142001,,LEVIE,41.7035,9.125833,571,1967-09-01,ETENDU
20148001,7790.0,BASTIA,42.540667,9.485167,10,1944-05-01,RADOME
20154001,,MARIGNANA,42.188833,8.655333,515,2009-02-09,ETENDU
20160001,,MOCA-CROCE,41.761667,9.0165,951,2019-02-18,RADOME
20169007,,PONTE-LECCIA,42.472667,9.199833,240,2013-06-06,ETENDU
20185003,,OLETTA,42.632333,9.3205,75,2006-01-18,RADOME
20190002,,OLMI-CAPPELLA,42.5295,9.0165,844,2011-04-04,ETENDU
20209003,,PERI_SAPC,42.003167,8.905667,433,2016-11-07,ETENDU
20211001,,PETRETO BICCHISANO,41.785167,8.979167,450,1952-03-01,ETENDU
20223001,,PIETRALBA,42.541,9.172,510,1991-07-01,ETENDU
20232002,,PILA-CANALE,41.8145,8.903667,407,1992-04-01,ETENDU
20247001,7768.0,LA CHIAPPA,41.594833,9.363167,57,1928-07-01,ETENDU
20249003,,PROPRIANO,41.678167,8.915,34,2019-10-14,ETENDU
20254006,,QUENZA,41.777667,9.142833,932,2009-04-07,ETENDU
20255003,,QUERCITELLO,42.426833,9.332333,997,2024-01-01,ETENDU
20258001,,RENNO,42.190167,8.807167,755,1993-06-01,RADOME
20264002,,RUSIO_SAPC,42.364167,9.2645,860,2016-04-18,ETENDU
20268001,,SAMPOLO,41.943,9.123,837,1989-09-01,RADOME
20270001,,SARI D'ORCINO,42.0785,8.802333,407,1988-11-01,ETENDU
20272001,,SARTENE-CIMETIERE,41.620167,8.962167,272,1959-05-01,ETENDU
20272004,,SARTENE,41.652333,8.979333,62,1996-09-01,ETENDU
20273001,,SCATA,42.429333,9.412167,185,2006-09-01,ETENDU
20281001,7791.0,CAP SAGRO,42.798333,9.488667,111,1979-01-01,ETENDU
20303002,7775.0,ALISTRO,42.259667,9.5415,65,1990-07-01,RADOME
20312001,,SANTA MARIA SICHE,41.879167,8.989167,541,1952-03-01,ETENDU
20314006,,SANTO PIETRO DI TENDA,42.635833,9.200667,484,2017-12-14,RADOME
20326001,,TOLLA_SAPC,41.9635,8.959167,698,2016-11-21,ETENDU
20341400,,MANICCIA-NIVOSE,42.21,9.05,2360,2000-10-24,ETENDU
20342001,7765.0,SOLENZARA,41.921833,9.400833,12,1960-08-01,RADOME
20354008,,VIVARIO_SAPC,42.152667,9.149167,773,2017-09-19,ETENDU
21056001,,BEIRE LE CHATEL,47.413833,5.208333,250,1945-09-01,ETENDU
21065001,,BESSEY,47.086,4.743167,593,2002-05-01,RADOME
21116002,,BURE LES TEMPLIERS_SAPC,47.7195,4.948167,461,2007-12-05,ETENDU
21131001,,PAGNY-LE-CHATEAU,47.043167,5.190667,182,1992-04-01,RADOME
21154001,7276.0,CHATILLON/SEINE,47.849333,4.581333,262,1946-01-01,RADOME
21231001,,DIJON,47.320667,5.019333,241,1830-07-01,ETENDU
21310001,,GROSBOIS-EN-MONTAGNE,47.319333,4.596333,376,1850-01-01,ETENDU
21326001,,JOURS LES BAIGNEUX_SAPC,47.636,4.596333,392,2015-06-30,ETENDU
21386001,,MARIGNY LE CAHOUET,47.4475,4.4335,335,1864-01-01,ETENDU
21395001,,MASSINGY-LES-VITTEAUX_SAPC,47.388667,4.586333,509,2018-08-17,ETENDU
21425001,,MONTBARD_SAPC,47.6285,4.3305,209,1831-01-01,ETENDU
21454001,,NICEY,47.860333,4.315333,209,1853-01-01,ETENDU
21473001,7280.0,DIJON-LONGVIC,47.267833,5.088333,219,1921-01-01,RADOME
21501003,,POUILLY EN AUX_SAPC,47.251333,4.561,412,1991-01-01,ETENDU
21503001,,POUILLY SUR VINGEANNE,47.542667,5.417667,239,1880-01-01,ETENDU
21519001,,RECEY SUR OURCE,47.782167,4.864167,326,1858-01-01,ETENDU
21527001,,LA ROCHEPOT,46.9525,4.674,417,1938-01-01,ETENDU
21561003,,ST-MARTIN-DU-M,47.4005,4.781167,578,1992-09-01,RADOME
21564001,,ST NIC. CITEAUX,47.122167,5.072167,203,1947-01-01,ETENDU
21567001,,ARNAY_SAPC,47.124833,4.498667,396,1996-05-01,ETENDU
21584001,,SAULIEU,47.264167,4.215,586,1850-01-01,RADOME
21603001,,SEMUR EN AUXOIS_SAPC,47.482,4.34,314,1978-03-01,ETENDU
21633002,,THOREY SOUS CHARNY_SAPC,47.319167,4.4395,421,2016-10-12,ETENDU
21638002,,TIL-CHATEL_SAPC,47.544833,5.2075,283,1993-11-01,ETENDU
22005003,,BELLE-ISLE-EN-TERRE,48.55,-3.3875,158,2016-07-26,RADOME
22016001,7121.0,ILE-DE-BREHAT,48.855167,-3.0045,25,1850-01-01,ETENDU
22092001,,KERPERT,48.404,-3.147667,281,1987-04-01,RADOME
22108001,,LANLEFF,48.691167,-3.0405,78,1987-05-01,ETENDU
22113006,7118.0,LANNION_AERO,48.755333,-3.468667,85,1993-11-01,RADOME
22147006,,MERDRIGNAC,48.188,-2.4205,145,1998-10-01,ETENDU
22168001,7117.0,PLOUMANAC'H,48.825833,-3.473167,55,1947-08-01,RADOME
22219003,,PLOUGUENAST,48.265833,-2.748333,235,1987-03-01,RADOME
22243001,,PLUSQUELLEC,48.404167,-3.522333,214,1973-01-01,ETENDU
22247002,,POMMERIT-JAUDY,48.742,-3.251,55,1985-07-01,RADOME
22261002,,QUINTENIC,48.519167,-2.42,71,1984-03-01,RADOME
22266001,7119.0,ROSTRENEN,48.226667,-3.295333,236,1954-07-01,RADOME
22282001,,SAINT-CAST-LE-G,48.6445,-2.247,35,1945-01-01,RADOME
22372001,7120.0,ST BRIEUC,48.534667,-2.852,135,1985-11-01,RADOME
23008004,,AUBUSSON_SAPC,45.957833,2.187833,486,1991-01-01,ETENDU
23013001,,AUZANCES_SAPC,46.0215,2.489333,564,1947-01-01,ETENDU
23021001,,BENEVENT_SAPC,46.121,1.6285,460,1860-01-01,ETENDU
23025001,,BONNAT,46.315333,1.916333,382,1955-04-01,ETENDU
23030004,,BOURGANEUF,45.942333,1.725833,513,1994-07-01,RADOME
23031002,,BOUSSAC_SAPC,46.343333,2.228333,380,1994-10-01,ETENDU
23046001,,CHAMBONCHARD,46.176,2.553,320,1921-01-01,ETENDU
23067001,,LA COURTINE,45.702667,2.263667,772,1919-01-01,RADOME
