code_bss,urn_bss,date_debut_mesure,date_fin_mesure,code_commune_insee,nom_commune,x,y,codes_bdlisa,urns_bdlisa,bss_id,altitude_station,nb_mesures_piezo,code_departement,nom_departement,libelle_pe,profondeur_investigation,codes_masse_eau_edl,noms_masse_eau_edl,urns_masse_eau_edl,date_maj
09897X0058/F2,http://services.ades.eaufrance.fr/pointeau/09897X0058/F2,2007-07-14,2024-09-20,34041,Brignac,3.473111835081315,43.62327582342187,718BI07,http://reseau.eaufrance.fr/geotraitements/bdlisa/files/entite/718BI07.pdf,BSS002GMYU,42.0,5857,34,Hérault,MAS DE MARRE 1,9.6,DG311,Alluvions de l'Hérault,http://www.sandre.eaufrance.fr/geo/MasseDEauSouterraine/DG311,Mon Jan 13 06:01:04 CET 2025
09892X0679/EXH70,http://services.ades.eaufrance.fr/pointeau/09892X0679/EXH70,2003-12-15,2025-01-09,34220,Le Puech,3.32731710695282,43.6955757184355,651AA00,http://reseau.eaufrance.fr/geotraitements/bdlisa/files/entite/651AA00.pdf,BSS002GMCK,157.79,7576,34,Hérault,PUECH (LE),205.0,DG222,Pélites permiennes et calcaires cambriens du lodévois,http://www.sandre.eaufrance.fr/geo/MasseDEauSouterraine/DG222,Thu Feb 27 06:03:18 CET 2020
09896X0037/AEP,http://services.ades.eaufrance.fr/pointeau/09896X0037/AEP,2016-07-03,2024-07-10,34175,Mourèze,3.3560918520895666,43.6190126948625,691AD01,http://reseau.eaufrance.fr/geotraitements/bdlisa/files/entite/691AD01.pdf,BSS002GMUV,220.0,2867,34,Hérault,VILLAGE,65.0,DG132,Dolomies  et calcaires jurassiques du fossé de Bédarieux,http://www.sandre.eaufrance.fr/geo/MasseDEauSouterraine/DG132,Fri Jun 28 07:31:38 CEST 2024
