piezometre,chi2,p_value,dof,dependent
Aube_Rouge___810,29.317669246600524,0.00027885654051505656,8,True
LACAN,4.267131042380673,0.8322535406314726,8,False
CENT_FONTS___CAUSSE_DE_LA_SELLE,222.51060643179204,1.1350345385978887e-43,8,True
